horse_id,sire,sire_id,dam,dam_id,damsire,damsire_id
2018104778,ディープインパクト,2002100816,ベイトゥベイ Bay to Bay(米),000a0120cb,Sligo Bay,000a011fef
2018104787,キンシャサノキセキ,2003110212,マウントコブラ Mt. Kobla(米),000a011a61,Mt. Livermore,000a00184b
2018104791,キングカメハメハ,2001103460,マドモアゼルドパリ,2001103046,サンデーサイレンス Sunday Silence(米),000a00033a
2018104797,ルーラーシップ,2007103143,マルカサワヤカ,1998101556,サンデーサイレンス Sunday Silence(米),000a00033a
2018104800,スクリーンヒーロー,2004103328,マルバイユ Marbye(愛),000a010648,Marju (愛),000a001fb6
2018104827,エイシンフラッシュ,2007102951,ラブアクチュアリー,2003106302,ダンスインザダーク,1993109188
2018104837,リーチザクラウン,2006102923,リトルディッパー,2005102406,アグネスワールド,1995108665
2018104841,ハーツクライ,2001103038,リリーアメリカ Lily America(仏),000a0120ee,American Post,000a011997
2018104849,エイシンフラッシュ,2007102951,レイヨンヴェール,2011104196,ゴールドアリュール,1999106689
2018104857,スクリーンヒーロー,2004103328,レッドマニッシュ,2010103781,シンボリクリスエス,1999110099
2018104865,ダイワメジャー,2001103114,レディトゥプリーズ Ready to Please(米),000a011167,More Than Ready,000a00fcdd
2018104872,オーシャンブルー,2008102978,ローズカットダイヤ,2005102310,フレンチデピュティ French Deputy(米),000a00013a
2018104874,モーリス,2011100655,アイスドール,2003102943,キャプテンスティーヴ Captain Steve(米),000a000d9d
2018104880,キングカメハメハ,2001103460,アヴェンチュラ,2008103078,ジャングルポケット,1998101786
2018104881,ハーツクライ,2001103038,アガルタ,2007103323,キングカメハメハ,2001103460
2018104885,ドゥラメンテ,2012104511,アスコルティ,2011104104,Danehill Dancer (愛),000a002309
