rank,waku,umaban,horse_name,horse_id,sex_age,kinryo,jockey,jockey_id,time,diff,passing,last_3f,odds,popularity,horse_weight,trainer,trainer_id,race_id,date,place,surface,distance,track_condition
3,2,2,メロディーレーン,2016105526,牝8,52.0,幸英明,732,3:05.6,1.1/4,8-8-7-6,36.7,23.5,7.0,358(0),[西]森田直行,1142,202408010110,2024-01-06,京都,芝,3000.0,良
4,6,9,ジャンカズマ,2018105308,牡6,54.0,小沢大仁,1185,3:05.7,クビ,1-1-1-1,37.4,53.2,10.0,492(-6),[西]小栗実,1194,202408010110,2024-01-06,京都,芝,3000.0,良
5,5,7,ワンダフルタウン,2018105074,牡6,57.0,藤岡康太,1116,3:05.8,1/2,10-10-11-9,36.7,45.8,9.0,476(+2),[西]高橋義忠,1129,202408010110,2024-01-06,京都,芝,3000.0,良
6,6,8,プリュムドール,2018103499,牝6,54.0,岩田康誠,5203,3:05.9,1/2,13-13-13-12,36.5,2.7,1.0,482(+4),[西]奥村豊,1146,202408010110,2024-01-06,京都,芝,3000.0,良
7,3,3,アスティ,2016104998,セ8,50.0,松若風馬,1154,3:06.0,クビ,5-5-4-4,37.3,136.9,13.0,428(+8),[東]堀内岳志,1189,202408010110,2024-01-06,京都,芝,3000.0,良
8,7,10,ディナースタ,2019101507,牡5,56.0,藤岡佑介,1093,3:06.1,3/4,4-4-4-3,37.5,4.8,2.0,478(+2),[西]辻野泰之,1183,202408010110,2024-01-06,京都,芝,3000.0,良
9,7,11,セファーラジエル,2018105131,牡6,56.0,ルメート,5659,3:06.1,ハナ,10-10-7-8,37.2,9.5,5.0,524(-4),[西]高柳大輔,1159,202408010110,2024-01-06,京都,芝,3000.0,良
10,5,6,アップデート,2019101716,牡5,52.0,和田竜二,1018,3:06.3,1.1/4,3-3-3-4,37.7,11.4,6.0,508(+2),[西]杉山晴紀,1157,202408010110,2024-01-06,京都,芝,3000.0,良
11,1,1,ビジン,2019106410,牝5,53.0,岩田望来,1174,3:07.6,8,2-2-2-2,39.2,31.4,8.0,466(+6),[西]武英智,1161,202408010110,2024-01-06,京都,芝,3000.0,良
12,4,5,フォワードアゲン,2017102537,セ7,54.0,西村淳也,1171,3:07.9,2,5-5-6-9,38.9,60.3,11.0,436(-2),[東]中野栄治,1010,202408010110,2024-01-06,京都,芝,3000.0,良
13,8,12,ボスジラ,2016104635,牡8,57.0,吉田隼人,1095,3:09.0,7,8-8-7-13,39.5,84.0,12.0,522(+18),[東]国枝栄,399,202408010110,2024-01-06,京都,芝,3000.0,良
1,1,2,コレペティトール,2020103043,牡4,54.0,岩田康誠,5203,1:33.8,,7-6,35.3,16.5,8.0,480(-2),[西]中竹和也,1039,202408010111,2024-01-06,京都,芝,1600.0,良
2,6,11,セッション,2020103639,牡4,55.0,坂井瑠星,1163,1:33.9,1/2,2-2,36.4,6.2,3.0,514(-6),[西]斉藤崇史,1151,202408010111,2024-01-06,京都,芝,1600.0,良
3,2,4,トゥードジボン,2019104730,牡5,55.0,藤岡佑介,1093,1:33.9,アタマ,3-3,35.9,5.4,1.0,488(+2),[西]四位洋文,1184,202408010111,2024-01-06,京都,芝,1600.0,良
4,8,18,アヴェラーレ,2018104910,牝6,56.0,ルメート,5659,1:34.1,1.1/4,9-9,35.6,10.5,6.0,448(+2),[東]木村哲也,1126,202408010111,2024-01-06,京都,芝,1600.0,良
5,8,17,フリームファクシ,2020103661,牡4,56.0,川田将雅,1088,1:34.2,3/4,7-6,35.8,8.9,5.0,512(+4),[西]須貝尚介,1105,202408010111,2024-01-06,京都,芝,1600.0,良
6,1,1,メイショウシンタケ,2018106318,牡6,57.0,浜中俊,1115,1:34.4,3/4,12-10,35.7,11.5,7.0,478(+10),[西]千田輝彦,1120,202408010111,2024-01-06,京都,芝,1600.0,良
7,4,7,タイムトゥヘヴン,2018100184,牡6,57.0,幸英明,732,1:34.5,3/4,13-10,35.7,56.2,13.0,490(+2),[東]戸田博文,1054,202408010111,2024-01-06,京都,芝,1600.0,良
8,3,5,ダノンタッチダウン,2020103277,牡4,56.0,北村友一,1102,1:34.6,1/2,4-4,36.4,18.5,10.0,546(0),[西]安田隆行,438,202408010111,2024-01-06,京都,芝,1600.0,良
9,2,3,ルプリュフォール,2016105223,セ8,57.0,秋山真一,1019,1:34.8,1.1/4,18-18,35.5,134.4,17.0,502(0),[西]松永幹夫,1092,202408010111,2024-01-06,京都,芝,1600.0,良
10,5,10,アンドヴァラナウト,2018105020,牝6,55.5,武豊,666,1:34.8,クビ,16-17,35.7,18.0,9.0,464(+12),[西]池添学,1144,202408010111,2024-01-06,京都,芝,1600.0,良
11,7,14,アルナシーム,2019105252,牡5,57.0,鮫島克駿,1157,1:34.8,アタマ,13-10,36.0,5.8,2.0,446(+6),[西]橋口慎介,1154,202408010111,2024-01-06,京都,芝,1600.0,良
12,4,8,サヴァ,2018103223,牡6,56.0,松若風馬,1154,1:34.9,クビ,9-10,36.2,163.0,18.0,540(+10),[西]上村洋行,1168,202408010111,2024-01-06,京都,芝,1600.0,良
13,5,9,セルバーグ,2019106670,牡5,57.0,松山弘平,1126,1:35.0,1/2,6-6,36.7,20.6,11.0,440(+4),[西]鈴木孝志,1111,202408010111,2024-01-06,京都,芝,1600.0,良
14,7,15,ドーブネ,2019104896,牡5,58.5,吉田隼人,1095,1:35.1,3/4,4-4,37.0,7.4,4.0,482(+10),[西]武幸四郎,1160,202408010111,2024-01-06,京都,芝,1600.0,良
15,6,12,ビューティフルデイ,2018103929,牝6,55.0,西村淳也,1171,1:35.2,3/4,9-10,36.5,81.9,14.0,450(-4),[東]国枝栄,399,202408010111,2024-01-06,京都,芝,1600.0,良
16,7,13,マテンロウオリオン,2019100965,牡5,58.0,太宰啓介,1037,1:35.4,1.1/4,16-15,36.3,31.1,12.0,488(+8),[西]昆貢,1044,202408010111,2024-01-06,京都,芝,1600.0,良
17,3,6,シャイニーロック,2016103884,牡8,57.0,酒井学,1034,1:35.5,クビ,13-15,36.6,118.6,15.0,510(+2),[西]佐々木晶,429,202408010111,2024-01-06,京都,芝,1600.0,良
18,8,16,ドルチェモア,2020101533,牡4,56.0,団野大成,1180,1:35.7,1.1/4,1-1,39.0,125.9,16.0,474(-2),[東]上原佑紀,1192,202408010111,2024-01-06,京都,芝,1600.0,良
1,1,1,アスクオンディープ,2019101612,セ5,55.0,西塚洸二,1200,1:47.3,,1-1,35.9,21.4,8.0,494(+2),[西]河内洋,1072,202408010112,2024-01-06,京都,芝,1800.0,良
2,1,2,ルクスビッグスター,2020104297,牡4,57.0,岩田望来,1174,1:47.5,1.1/4,7-6,35.5,11.5,4.0,474(-2),[西]清水久詞,1110,202408010112,2024-01-06,京都,芝,1800.0,良
3,3,5,ティムール,2020103048,牡4,57.0,鮫島克駿,1157,1:47.5,クビ,10-8,35.2,4.0,2.0,460(-4),[西]中竹和也,1039,202408010112,2024-01-06,京都,芝,1800.0,良
4,8,15,ノーブルライジング,2020101697,牡4,57.0,国分恭介,1124,1:47.9,2,17-11,35.1,28.5,9.0,508(+22),[西]宮本博,1073,202408010112,2024-01-06,京都,芝,1800.0,良
5,3,6,ヴィトーリア,2018104477,牡6,58.0,富田暁,1168,1:47.9,ハナ,14-11,35.3,86.5,14.0,444(-6),[西]武英智,1161,202408010112,2024-01-06,京都,芝,1800.0,良
6,5,10,トリオンファルマン,2020105652,牝4,54.0,角田大和,1186,1:47.9,クビ,14-16,35.3,53.8,12.0,426(0),[西]笹田和秀,1104,202408010112,2024-01-06,京都,芝,1800.0,良
7,6,12,アンテロース,2020100678,牡4,57.0,吉田隼人,1095,1:48.2,1.3/4,2-2,36.8,21.1,7.0,450(+4),[西]岡田稲男,1066,202408010112,2024-01-06,京都,芝,1800.0,良
8,2,4,ロードマンハイム,2020100177,牡4,57.0,モリス,5641,1:48.2,ハナ,5-4,36.5,15.2,5.0,508(-6),[西]友道康夫,1061,202408010112,2024-01-06,京都,芝,1800.0,良
9,5,9,ワンダイレクト,2020103129,牡4,57.0,武豊,666,1:48.6,2.1/2,16-11,35.9,4.1,3.0,450(+8),[西]藤岡健一,1062,202408010112,2024-01-06,京都,芝,1800.0,良
10,2,3,ジーニアスバローズ,2020100681,牡4,57.0,菱田裕二,1144,1:48.7,クビ,6-6,36.8,19.0,6.0,468(+6),[西]辻野泰之,1183,202408010112,2024-01-06,京都,芝,1800.0,良
11,4,8,コナブラック,2019105191,牡5,58.0,ルメート,5659,1:49.2,3,10-11,36.8,72.1,13.0,522(+4),[西]清水久詞,1110,202408010112,2024-01-06,京都,芝,1800.0,良
12,6,11,マグマオーシャン,2019104558,牡5,58.0,松山弘平,1126,1:49.3,3/4,13-16,36.7,149.7,16.0,506(0),[東]武藤善則,1064,202408010112,2024-01-06,京都,芝,1800.0,良
13,7,13,シルヴァーデューク,2020100052,牡4,57.0,川田将雅,1088,1:49.4,3/4,2-3,37.9,3.2,1.0,458(0),[西]西村真幸,1148,202408010112,2024-01-06,京都,芝,1800.0,良
14,4,7,フォーサイドナイン,2020106661,牡4,57.0,団野大成,1180,1:49.6,1,7-8,37.5,270.0,17.0,464(0),[西]奥村豊,1146,202408010112,2024-01-06,京都,芝,1800.0,良
15,8,16,ニホンピロアリー,2020104224,牝4,53.0,田口貫太,1208,1:49.8,1.1/2,7-8,37.7,144.8,15.0,438(+24),[西]中尾秀正,1069,202408010112,2024-01-06,京都,芝,1800.0,良
16,8,17,アルファヒディ,2019105322,セ5,58.0,西村淳也,1171,1:49.8,アタマ,10-11,37.4,47.1,11.0,494(+4),[西]池江泰寿,1071,202408010112,2024-01-06,京都,芝,1800.0,良
17,7,14,マテンロウボンド,2019103659,牡5,58.0,藤岡佑介,1093,1:50.5,4,2-4,38.9,31.9,10.0,504(+20),[西]野中賢二,1098,202408010112,2024-01-06,京都,芝,1800.0,良
1,4,8,ライングッドマン,2021101930,牡3,57.0,武藤雅,1169,1:12.5,,4-4,37.7,4.6,3.0,470(0),[東]武藤善則,1064,202406010201,2024-01-07,中山,ダート,1200.0,良
2,8,16,イーサンハンター,2021104362,牡3,57.0,坂井瑠星,1163,1:12.6,1/2,2-2,37.9,4.4,2.0,500(-2),[東]中野栄治,1010,202406010201,2024-01-07,中山,ダート,1200.0,良
3,1,2,オモカゲジョー,2021109094,牡3,57.0,江田照男,689,1:13.3,4,12-14,37.9,25.2,7.0,488(-2),[東]奥平雅士,1074,202406010201,2024-01-07,中山,ダート,1200.0,良
4,5,9,タマエスポワール,2021102087,牡3,57.0,石川裕紀,1150,1:13.3,アタマ,8-6,38.2,9.4,5.0,508(0),[東]相沢郁,1020,202406010201,2024-01-07,中山,ダート,1200.0,良
5,8,15,ヨリナエスポワール,2021102671,牡3,57.0,木幡巧也,1162,1:13.3,ハナ,2-2,38.6,5.5,4.0,528(0),[東]牧光二,1106,202406010201,2024-01-07,中山,ダート,1200.0,良
6,7,13,フジゴウキャク,2021101906,牡3,57.0,丹内祐次,1091,1:13.3,アタマ,1-1,38.7,3.1,1.0,482(+2),[東]岩戸孝樹,1051,202406010201,2024-01-07,中山,ダート,1200.0,良
7,3,5,ホウオウフロイト,2021103549,牡3,57.0,杉原誠人,1135,1:13.5,3/4,12-10,38.2,100.0,10.0,434(-4),[東]加藤和宏,1077,202406010201,2024-01-07,中山,ダート,1200.0,良
8,2,3,エコロセブン,2021103370,牡3,57.0,丸山元気,1127,1:13.8,2,14-9,38.2,455.1,15.0,500(+12),[東]根本康広,1029,202406010201,2024-01-07,中山,ダート,1200.0,良
9,6,12,サンウイキョウ,2021101306,牡3,56.0,秋山稔樹,1181,1:14.1,1.3/4,6-6,39.1,41.4,8.0,448(0),[東]蛯名利弘,1131,202406010201,2024-01-07,中山,ダート,1200.0,良
10,7,14,デルミオクオーレ,2021106841,牡3,56.0,佐々木大,1197,1:14.2,クビ,8-6,39.1,133.0,12.0,448(+6),[東]村田一誠,1190,202406010201,2024-01-07,中山,ダート,1200.0,良
11,3,6,ペイシャツネ,2021106009,牡3,53.0,小林美駒,1206,1:14.3,1/2,4-4,39.5,11.0,6.0,456(+6),[東]深山雅史,1174,202406010201,2024-01-07,中山,ダート,1200.0,良
12,4,7,ケイツーレオン,2021100202,牡3,57.0,黛弘人,1109,1:14.4,1/2,6-13,39.4,110.8,11.0,458(0),[東]鈴木伸尋,1026,202406010201,2024-01-07,中山,ダート,1200.0,良
13,2,4,ユイノグランコード,2021103605,牡3,57.0,木幡初也,1153,1:14.5,1/2,10-10,39.3,192.3,13.0,476(+18),[東]深山雅史,1174,202406010201,2024-01-07,中山,ダート,1200.0,良
14,5,10,サルバシオン,2021101820,牡3,57.0,菊沢一樹,1161,1:14.8,2,15-15,38.8,456.7,16.0,450(+2),[東]青木孝文,1156,202406010201,2024-01-07,中山,ダート,1200.0,良
15,1,1,ブルパーチェ,2021100263,セ3,57.0,野中悠太,1158,1:15.5,4,10-10,40.3,99.3,9.0,506(+10),[東]高橋裕,412,202406010201,2024-01-07,中山,ダート,1200.0,良
中,6,11,シュトウルム,2021107392,牡3,56.0,原優介,1184,,,,,407.2,14.0,478(+10),[東]小桧山悟,1005,202406010201,2024-01-07,中山,ダート,1200.0,良
1,7,14,アムールドパリ,2021105264,牝3,55.0,丸田恭介,1117,1:55.9,,1-1-1-1,38.9,1.4,1.0,448(0),[東]稲垣幸雄,1167,202406010202,2024-01-07,中山,ダート,1800.0,良
2,5,10,クォーツァイト,2021104777,牝3,55.0,斎藤新,1178,1:56.7,5,3-3-3-3,39.4,10.2,3.0,450(-2),[東]斎藤誠,1086,202406010202,2024-01-07,中山,ダート,1800.0,良
3,1,1,ビップレーヌ,2021100886,牝3,55.0,横山武史,1170,1:57.3,3.1/2,12-12-12-9,39.0,13.2,4.0,466(+6),[東]高柳瑞樹,1118,202406010202,2024-01-07,中山,ダート,1800.0,良
4,3,6,コパノエビータ,2021102219,牝3,55.0,武藤雅,1169,1:57.9,3.1/2,6-5-5-4,40.2,82.8,10.0,406(+6),[東]手塚貴久,1038,202406010202,2024-01-07,中山,ダート,1800.0,良
5,6,11,ルージュアベリア,2021105058,牝3,55.0,坂井瑠星,1163,1:57.9,クビ,2-2-2-2,40.8,4.8,2.0,488(+2),[東]田中博康,1162,202406010202,2024-01-07,中山,ダート,1800.0,良
6,2,3,ライトピラー,2021101204,牝3,55.0,江田照男,689,1:58.2,2,16-16-16-13,39.4,446.0,16.0,494(-2),[東]村田一誠,1190,202406010202,2024-01-07,中山,ダート,1800.0,良
7,6,12,プレシュラージュ,2021104969,牝3,55.0,内田博幸,422,1:58.2,ハナ,3-3-3-4,40.8,166.8,13.0,452(-2),[東]田中剛,1119,202406010202,2024-01-07,中山,ダート,1800.0,良
8,8,16,タマモポロネーズ,2021104523,牝3,54.0,永野猛蔵,1188,1:58.4,3/4,12-12-5-6,40.8,42.3,7.0,446(-2),[東]伊藤圭三,1023,202406010202,2024-01-07,中山,ダート,1800.0,良
9,2,4,ギースバッハ,2021102247,牝3,55.0,吉田豊,733,1:58.6,1.1/2,12-12-15-15,39.9,28.2,5.0,452(-4),[東]加藤征弘,1059,202406010202,2024-01-07,中山,ダート,1800.0,良
10,5,9,ツインクルステージ,2021103512,牝3,55.0,菅原明良,1179,1:58.7,1/2,6-5-5-6,41.0,40.5,6.0,500(+4),[東]高木登,1088,202406010202,2024-01-07,中山,ダート,1800.0,良
11,8,15,サンセットブライト,2021102753,牝3,54.0,横山琉人,1192,1:58.8,1/2,8-8-9-9,40.8,42.5,8.0,498(+8),[東]相沢郁,1020,202406010202,2024-01-07,中山,ダート,1800.0,良
12,3,5,アパイシュナール,2021100005,牝3,55.0,丹内祐次,1091,2:00.0,7,8-8-9-9,42.0,76.2,9.0,454(-4),[東]田村康仁,1027,202406010202,2024-01-07,中山,ダート,1800.0,良
13,4,7,ミユキアテスウェイ,2021107286,牝3,55.0,原田和真,1143,2:00.1,3/4,12-12-12-13,41.8,307.1,14.0,456(-2),[東]小野次郎,1125,202406010202,2024-01-07,中山,ダート,1800.0,良
14,4,8,ベアエンジェル,2021100213,牝3,52.0,小林勝太,1205,2:01.0,5,8-8-12-15,42.6,417.9,15.0,472(0),[東]杉浦宏昭,1008,202406010202,2024-01-07,中山,ダート,1800.0,良
15,7,13,バエル,2021102126,牝3,54.0,佐々木大,1197,2:01.2,1.1/2,3-5-5-6,43.5,146.7,12.0,442(-4),[東]伊坂重信,1177,202406010202,2024-01-07,中山,ダート,1800.0,良
16,1,2,ウインブリエ,2021106221,牝3,55.0,松岡正海,1085,2:01.5,1.1/2,8-8-9-9,43.4,85.7,11.0,484(+10),[東]和田正一,1114,202406010202,2024-01-07,中山,ダート,1800.0,良
1,7,13,ウインイメル,2021106213,牡3,57.0,黛弘人,1109,1:57.7,,4-3-2-2,40.5,46.9,7.0,484(+4),[東]深山雅史,1174,202406010203,2024-01-07,中山,ダート,1800.0,良
2,1,1,ダイクロアイト,2021105524,牡3,57.0,ピーヒュ,5661,1:57.9,1.1/2,6-6-6-5,40.3,8.8,3.0,462(+6),[東]萩原清,1017,202406010203,2024-01-07,中山,ダート,1800.0,良
3,6,11,ニシノコルベット,2021100374,牡3,57.0,武藤雅,1169,1:58.4,3,13-12-11-11,40.2,16.1,4.0,472(+8),[東]水野貴広,1094,202406010203,2024-01-07,中山,ダート,1800.0,良
4,2,3,ミレニアムヒロイン,2021103480,牝3,54.0,横山琉人,1192,1:58.6,1,3-3-4-3,41.2,87.5,10.0,440(-2),[東]池上昌和,1150,202406010203,2024-01-07,中山,ダート,1800.0,良
5,6,12,カシノカンピオーネ,2021100516,牡3,57.0,岩部純二,726,1:58.8,1,11-11-9-9,40.8,66.6,8.0,488(+10),[東]天間昭一,1090,202406010203,2024-01-07,中山,ダート,1800.0,良
6,5,9,ダノンマカルー,2021105965,牡3,57.0,横山武史,1170,1:58.9,1/2,2-2-1-1,41.8,1.2,1.0,542(0),[東]田中博康,1162,202406010203,2024-01-07,中山,ダート,1800.0,良
7,4,8,エイブラムス,2021100260,牡3,56.0,佐々木大,1197,1:58.9,ハナ,1-1-2-3,41.7,8.0,2.0,458(+4),[東]鈴木慎太,1179,202406010203,2024-01-07,中山,ダート,1800.0,良
8,1,2,ミーハ,2021104410,牡3,56.0,原優介,1184,1:59.0,クビ,6-6-7-6,41.2,16.9,5.0,490(+2),[東]小笠倫弘,1076,202406010203,2024-01-07,中山,ダート,1800.0,良
9,3,5,マシュー,2021104738,牡3,54.0,佐藤翔馬,1207,1:59.1,1/2,12-12-14-13,40.3,156.4,12.0,468(+14),[東]小桧山悟,1005,202406010203,2024-01-07,中山,ダート,1800.0,良
10,7,14,ジョリーメモリー,2021104072,牡3,57.0,柴田善臣,641,1:59.3,1.1/4,13-14-12-12,40.6,31.6,6.0,446(+18),[東]嘉藤貴行,1195,202406010203,2024-01-07,中山,ダート,1800.0,良
11,5,10,サウナストーン,2021104569,牡3,57.0,丹内祐次,1091,1:59.4,3/4,10-9-9-9,41.4,84.2,9.0,462(-6),[東]西田雄一,1187,202406010203,2024-01-07,中山,ダート,1800.0,良
12,8,16,グレック,2021104727,牡3,57.0,内田博幸,422,1:59.7,1.3/4,9-9-7-7,41.9,96.8,11.0,502(+10),[東]田村康仁,1027,202406010203,2024-01-07,中山,ダート,1800.0,良
13,2,4,ニシノエール,2021100946,セ3,57.0,北村宏司,1043,2:00.3,3.1/2,5-3-4-7,42.8,240.9,13.0,450(-2),[東]上原博之,423,202406010203,2024-01-07,中山,ダート,1800.0,良
14,3,6,クルシナ,2021104425,牡3,53.0,小林美駒,1206,2:01.8,9,15-15-15-15,42.2,280.8,14.0,498(+12),[東]和田雄二,1143,202406010203,2024-01-07,中山,ダート,1800.0,良
15,8,15,マメタクン,2021101767,セ3,57.0,江田照男,689,2:03.6,大,6-8-12-14,45.0,303.8,15.0,488(+6),[東]萱野浩二,1024,202406010203,2024-01-07,中山,ダート,1800.0,良
取,4,7,マツシマ,2021101168,牡3,56.0,秋山稔樹,1181,,,,,---,,計不,[東]尾形和幸,1141,202406010203,2024-01-07,中山,ダート,1800.0,良
1,7,11,ビップランバン,2018105050,牡6,60.0,中村将之,1101,3:12.9,,3-2-2-2,13.4,9.6,4.0,482(+8),[西]清水久詞,1110,202406010204,2024-01-07,中山,芝,2880.0,良
2,8,14,メルテミア,2018103266,牡6,60.0,小坂忠士,1063,3:12.9,ハナ,1-1-1-2,13.4,33.8,7.0,472(+6),[西]小栗実,1194,202406010204,2024-01-07,中山,芝,2880.0,良
3,3,3,ワールドスケール,2017106372,牡7,60.0,小牧加矢,1196,3:12.9,ハナ,3-2-4-4,13.4,1.8,1.0,488(0),[西]村山明,1107,202406010204,2024-01-07,中山,芝,2880.0,良
4,8,13,アースブレイブ,2017106236,セ7,60.0,江田勇亮,1023,3:13.3,2.1/2,5-5-5-6,13.4,20.1,6.0,470(+2),[東]宗像義忠,420,202406010204,2024-01-07,中山,芝,2880.0,良
5,5,7,ボイラーハウス,2018106183,牡6,60.0,上野翔,1087,3:13.8,3,7-5-5-6,13.5,3.9,2.0,510(+12),[東]竹内正洋,1152,202406010204,2024-01-07,中山,芝,2880.0,良
6,1,1,ルレーヴドゥリリ,2017103710,牝7,58.0,森一馬,1139,3:13.9,クビ,9-10-10-11,13.5,13.3,5.0,518(-2),[東]田中剛,1119,202406010204,2024-01-07,中山,芝,2880.0,良
7,3,4,ブリエヴェール,2018104849,牡6,60.0,石神深一,1059,3:14.5,3.1/2,5-5-7-4,13.5,8.2,3.0,458(+8),[東]小笠倫弘,1076,202406010204,2024-01-07,中山,芝,2880.0,良
8,6,10,アメリカンピース,2018110131,セ6,57.0,水沼元輝,1201,3:14.9,2.1/2,2-4-2-1,13.5,85.8,9.0,454(-8),[西]音無秀孝,1002,202406010204,2024-01-07,中山,芝,2880.0,良
9,7,12,サンマルグレイト,2020101779,牡4,59.0,大江原圭,1120,3:14.9,ハナ,11-11-10-10,13.5,131.2,12.0,452(+14),[東]佐藤吉勝,1035,202406010204,2024-01-07,中山,芝,2880.0,良
10,5,8,ソルトキャピタル,2017100169,牡7,60.0,小野寺祐,1123,3:15.2,2,8-8-7-6,13.6,101.5,11.0,530(-2),[西]木原一良,1033,202406010204,2024-01-07,中山,芝,2880.0,良
11,4,6,メノーグラジオラス,2019102944,牡5,60.0,草野太郎,1113,3:16.1,5,9-9-9-9,13.6,63.1,8.0,490(+14),[東]戸田博文,1054,202406010204,2024-01-07,中山,芝,2880.0,良
12,2,2,タリスアマゾン,2020104766,牡4,59.0,五十嵐雄,1069,3:19.0,大,12-12-12-12,13.8,93.2,10.0,456(+4),[東]中舘英二,1153,202406010204,2024-01-07,中山,芝,2880.0,良
13,6,9,ワンダーウォール,2018103537,牡6,60.0,伴啓太,1149,3:20.7,10,13-13-13-13,13.9,338.1,14.0,486(+4),[東]鈴木慎太,1179,202406010204,2024-01-07,中山,芝,2880.0,良
14,4,5,ティアップエックス,2020100733,セ4,59.0,蓑島靖典,1068,3:22.7,大,14-14-14-14,14.1,233.4,13.0,524(+10),[東]奥平雅士,1074,202406010204,2024-01-07,中山,芝,2880.0,良
1,5,10,シャインズオンユー,2021103535,牡3,57.0,横山武史,1170,1:33.4,,3-3-3,35.3,3.5,1.0,452(+4),[東]青木孝文,1156,202406010205,2024-01-07,中山,芝,1600.0,良
2,2,3,テートモダン,2021101275,セ3,55.0,小林凌大,1177,1:33.4,1/2,9-8-6,34.7,10.7,5.0,450(+6),[東]尾形和幸,1141,202406010205,2024-01-07,中山,芝,1600.0,良
3,8,15,ヴィヴァクラウン,2021101595,牡3,57.0,大野拓弥,1096,1:33.6,1.1/4,5-6-4,35.2,28.0,9.0,472(+6),[東]杉浦宏昭,1008,202406010205,2024-01-07,中山,芝,1600.0,良
4,6,12,ロクシアス,2021105890,牡3,57.0,ルメール,5339,1:33.8,1,10-9-9,34.7,3.6,2.0,490(+10),[東]国枝栄,399,202406010205,2024-01-07,中山,芝,1600.0,良
5,5,9,ヒャクモノガタリ,2021101450,牝3,55.0,吉田豊,733,1:33.8,クビ,12-13-12,34.1,25.9,8.0,430(+6),[東]尾関知人,1103,202406010205,2024-01-07,中山,芝,1600.0,良
6,6,11,ローンウルフ,2021104112,牡3,57.0,木幡巧也,1162,1:33.9,1/2,2-2-1,36.7,5.4,4.0,476(-4),[東]武市康男,1089,202406010205,2024-01-07,中山,芝,1600.0,良
7,8,16,ミサトベレーザ,2021103689,牝3,55.0,武士沢友,1029,1:34.1,1.1/4,12-12-10,34.8,19.8,6.0,422(-4),[東]勢司和浩,1047,202406010205,2024-01-07,中山,芝,1600.0,良
8,1,2,ニシノプレゼント,2021100194,牝3,55.0,田辺裕信,1075,1:34.2,クビ,5-4-4,35.9,5.1,3.0,444(0),[東]村田一誠,1190,202406010205,2024-01-07,中山,芝,1600.0,良
9,3,6,エフォートレス,2021100564,牡3,57.0,宮崎北斗,1118,1:34.2,ハナ,15-14-14,34.2,20.3,7.0,476(-6),[東]嘉藤貴行,1195,202406010205,2024-01-07,中山,芝,1600.0,良
10,4,7,チカチャン,2021102864,牝3,55.0,北村宏司,1043,1:34.2,アタマ,10-11-12,35.0,38.3,10.0,428(-2),[東]石毛善彦,428,202406010205,2024-01-07,中山,芝,1600.0,良
11,1,1,ミヤビハイジア,2021103884,牝3,55.0,木幡育也,1167,1:34.5,1.1/2,5-9-10,35.5,533.9,14.0,458(-14),[東]高橋文雅,1134,202406010205,2024-01-07,中山,芝,1600.0,良
12,7,14,トーセンシナモン,2021104702,牝3,53.0,藤田菜七,1164,1:35.0,3,15-16-16,34.8,219.2,12.0,488(+2),[東]小桧山悟,1005,202406010205,2024-01-07,中山,芝,1600.0,良
13,3,5,ミランダアスール,2021101233,牝3,55.0,武藤雅,1169,1:35.1,1/2,14-14-14,35.1,377.0,13.0,396(-10),[東]水野貴広,1094,202406010205,2024-01-07,中山,芝,1600.0,良
14,7,13,アオイラリュヌ,2021106914,牝3,55.0,丸山元気,1127,1:35.1,クビ,3-4-6,36.8,725.7,15.0,430(0),[東]和田雄二,1143,202406010205,2024-01-07,中山,芝,1600.0,良
15,4,8,ハルテロス,2021104430,牝3,52.0,石田拓郎,1203,1:35.1,アタマ,8-7-8,36.5,748.5,16.0,430(+2),[東]奥村武,1145,202406010205,2024-01-07,中山,芝,1600.0,良
16,2,4,メーオーテソーロ,2021102288,牝3,54.0,原優介,1184,1:36.2,7,1-1-2,39.0,110.2,11.0,396(+6),[東]奥平雅士,1074,202406010205,2024-01-07,中山,芝,1600.0,良
1,2,3,スティンガーグラス,2021105829,牡3,57.0,ルメール,5339,2:02.1,,8-6-5-4,35.3,2.4,1.0,464(0),[東]木村哲也,1126,202406010206,2024-01-07,中山,芝,2000.0,良
2,2,4,アンゴラブラック,2021105738,牝3,55.0,ピーヒュ,5661,2:02.2,3/4,3-3-4-3,35.7,2.8,2.0,474(0),[東]尾関知人,1103,202406010206,2024-01-07,中山,芝,2000.0,良
3,7,14,ヘヴンズクライ,2021105981,牡3,57.0,キング,5643,2:02.9,4,10-10-9-6,35.9,9.2,3.0,422(0),[東]大竹正博,1102,202406010206,2024-01-07,中山,芝,2000.0,良
4,1,1,バランスダンサー,2021104160,牝3,55.0,田辺裕信,1075,2:02.9,クビ,1-1-1-1,36.7,10.2,4.0,476(0),[東]久保田貴,1067,202406010206,2024-01-07,中山,芝,2000.0,良
5,8,15,フォルテフィオーレ,2021100165,牡3,57.0,石橋脩,1077,2:02.9,クビ,3-3-2-2,36.6,11.4,5.0,442(0),[東]上原佑紀,1192,202406010206,2024-01-07,中山,芝,2000.0,良
6,5,10,デルマスカンダ,2021101988,牡3,57.0,大野拓弥,1096,2:03.3,2.1/2,12-12-11-9,35.9,292.9,16.0,448(0),[東]和田正一,1114,202406010206,2024-01-07,中山,芝,2000.0,良
